Id,LotFrontage,LotArea,LotShape,OverallCond,MasVnrArea,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,TotRmsAbvGrd,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
380,60,8123,IR1,5,16,982,1007,793,1800,7,463,100,63,179000
381,50,5000,Reg,6,0,1026,1026,665,1691,6,308,0,0,127000
382,60,7200,Reg,5,0,1293,1301,0,1301,5,572,216,121,187750
383,79,9245,IR1,5,0,939,939,858,1797,8,639,144,53,213500
384,60,9000,Reg,3,0,784,784,0,784,5,360,0,0,76000
385,NA,53107,IR2,5,0,1580,1079,874,1953,9,501,216,231,240000
386,43,3182,Reg,5,16,1256,1269,0,1269,6,430,146,20,192000
387,58,8410,Reg,3,0,658,658,526,1184,8,0,0,151,81000
388,72,7200,Reg,6,255,1041,1125,0,1125,6,352,296,0,125000
389,93,9382,IR1,5,125,1468,1479,0,1479,6,577,120,25,191000
390,96,12474,Reg,5,272,1682,1742,590,2332,9,846,196,134,426000
391,50,8405,Reg,8,0,861,961,406,1367,7,384,0,130,119000
392,71,12209,IR1,5,0,804,804,1157,1961,7,560,125,192,215000
393,NA,8339,IR1,7,0,0,882,0,882,5,294,0,0,106500
394,NA,7446,Reg,5,0,788,788,0,788,4,0,0,0,100000
395,60,10134,Reg,6,0,735,735,299,1034,5,240,0,39,109000
396,68,9571,Reg,6,0,1144,1144,0,1144,6,596,44,0,129000
397,60,7200,Reg,5,0,894,894,0,894,6,600,215,0,123000
398,69,7590,Reg,5,288,864,876,936,1812,8,264,0,168,169500
399,60,8967,Reg,2,0,961,1077,0,1077,6,338,0,0,67000
400,65,8125,Reg,5,100,1092,1112,438,1550,7,438,0,168,241000
401,38,14963,IR2,5,0,1260,1288,0,1288,4,500,120,30,245500
402,65,8767,IR1,5,0,1310,1310,0,1310,6,400,0,0,164990
403,60,10200,Reg,8,0,672,672,0,672,4,240,168,0,108000
404,93,12090,Reg,5,650,1141,1165,1098,2263,10,420,144,123,258000
405,NA,10364,IR1,5,0,806,806,766,1572,7,373,0,40,168000
406,NA,9991,IR1,4,0,1281,1620,0,1620,8,490,120,78,150000
407,51,10480,Reg,5,0,1064,1166,0,1639,6,240,0,0,115000
408,63,15576,Reg,7,0,840,840,840,1680,8,308,0,0,177000
409,109,14154,Reg,5,350,1063,1071,1101,2172,9,947,192,62,280000
410,85,10800,Reg,5,100,1034,1050,1028,2078,8,836,0,102,339750
411,68,9571,Reg,3,0,1276,1276,0,1276,5,350,0,0,60000
412,100,34650,Reg,5,0,1056,1056,0,1056,5,572,264,0,145000
413,NA,4403,IR2,5,432,1470,1478,0,1478,7,484,0,144,222000
414,56,8960,Reg,6,0,1008,1028,0,1028,5,360,0,0,115000
415,59,11228,IR2,5,0,1080,1080,1017,2097,9,678,196,187,228000
416,73,8899,IR1,5,0,1340,1340,0,1340,6,396,100,30,181134
417,74,7844,Reg,7,203,672,672,728,1400,6,440,0,0,149500
418,86,22420,IR1,6,0,1370,1370,1254,2624,10,864,0,0,239000
419,60,8160,Reg,6,0,756,756,378,1134,7,240,0,0,126000
420,65,8450,Reg,6,0,1056,1056,0,1056,6,304,0,85,142000
421,78,7060,Reg,5,200,1344,1344,0,1344,8,784,0,0,206300
422,NA,16635,IR1,7,126,1602,1602,0,1602,8,529,240,0,215000
423,100,21750,Reg,5,0,988,988,0,988,4,520,0,0,113000
424,80,9200,Reg,5,473,1470,1470,1160,2630,8,696,0,66,315000
425,72,9000,Reg,5,74,1196,1196,0,1196,6,297,0,44,139000
426,60,3378,Reg,8,0,651,707,682,1389,6,240,0,0,135000
427,NA,12800,Reg,5,145,1518,1644,0,1644,5,569,80,0,275000
428,77,8593,IR1,6,0,907,907,0,907,5,352,0,0,109008
429,64,6762,Reg,5,108,1208,1208,0,1208,6,628,105,54,195400
430,130,11457,IR1,5,0,1392,1412,0,1412,6,576,0,0,175000
431,21,1680,Reg,5,232,483,483,504,987,4,264,0,0,85400
432,60,5586,IR1,7,0,901,1088,110,1198,7,0,0,98,79900
433,24,1920,Reg,5,376,765,765,600,1365,6,440,240,36,122500
434,100,10839,IR1,5,0,926,926,678,1604,7,470,0,36,181000
435,21,1890,Reg,7,0,630,630,0,630,3,0,88,0,81000
436,43,10667,IR2,6,0,799,827,834,1661,6,550,158,61,212000
437,40,4400,Reg,8,0,648,734,384,1118,6,440,0,0,116000
438,50,6000,Reg,7,0,884,904,0,904,4,180,0,0,119000
439,40,4280,Reg,6,0,440,694,0,694,4,352,0,0,90350
440,67,12354,Reg,8,0,684,684,512,1196,7,528,0,46,110000
441,105,15431,Reg,5,200,3094,2402,0,2402,10,672,0,72,555000
442,92,12108,Reg,4,270,1440,1440,0,1440,8,0,0,0,118000
443,52,6240,Reg,7,0,1078,1128,445,1573,8,360,0,0,162900
444,53,3922,Reg,5,72,1258,1258,0,1258,6,648,144,16,172500
445,70,8750,Reg,5,0,915,933,975,1908,8,493,144,133,210000
446,73,9855,Reg,5,0,1436,1689,0,1689,7,480,0,0,127500
447,137,16492,IR1,6,0,1517,1888,0,1888,6,578,0,0,190000
448,NA,11214,IR1,5,0,930,956,930,1886,10,431,89,0,199900
449,50,8600,Reg,6,0,780,780,596,1376,7,198,0,0,119500
450,50,6000,Reg,7,0,649,679,504,1183,6,308,0,176,120000
451,70,5684,Reg,8,0,813,813,0,813,5,270,0,113,110000
452,62,70761,IR1,5,0,1533,1533,0,1533,5,576,200,54,280000
453,NA,9303,IR1,5,42,872,888,868,1756,7,422,144,122,204000
454,75,9000,Reg,5,0,768,786,804,1590,6,676,0,30,210000
455,63,9297,Reg,5,0,1728,1728,0,1728,8,560,0,0,188000
456,80,9600,Reg,6,320,1242,1242,0,1242,6,528,0,0,175500
457,34,4571,Reg,5,0,624,624,720,1344,7,513,0,0,98000
458,NA,53227,IR1,6,0,1364,1663,0,1663,6,529,224,137,256000
459,NA,5100,Reg,7,0,588,833,833,1666,7,228,192,63,161000
460,NA,7015,IR1,4,161,709,979,224,1203,5,352,0,0,110000
461,75,8004,IR1,5,110,832,832,1103,1935,8,552,0,150,263435
462,60,7200,Reg,9,0,560,575,560,1135,6,576,256,0,155000
463,60,8281,IR1,5,0,864,864,0,864,5,360,0,0,62383
464,74,11988,IR1,7,0,715,849,811,1660,6,240,0,0,188700
465,60,8430,Reg,5,136,1040,1040,0,1040,5,0,0,0,124000
466,NA,3072,Reg,5,18,1375,1414,0,1414,6,398,144,20,178740
467,85,10628,Reg,5,0,1277,1277,0,1277,5,526,0,0,167000
468,79,9480,Reg,7,224,728,888,756,1644,7,312,168,0,146500
469,98,11428,IR1,5,248,1626,1634,0,1634,7,866,0,44,250000
470,76,9291,IR1,5,120,832,832,878,1710,7,506,144,70,187000
471,NA,6820,IR1,5,0,1488,1502,0,1502,4,528,0,54,212000
472,92,11952,Reg,6,0,808,1161,808,1969,8,534,0,0,190000
473,35,3675,Reg,5,80,547,1072,0,1072,5,525,0,28,148000
474,110,14977,IR1,5,304,1976,1976,0,1976,7,908,250,63,440000
475,41,5330,Reg,5,0,1494,1652,0,1652,6,499,96,48,251000
476,80,8480,Reg,6,0,970,970,0,970,5,624,0,24,132500
477,75,13125,Reg,5,215,1478,1493,0,1493,7,508,140,39,208900
478,105,13693,Reg,5,772,2153,2069,574,2643,9,694,414,84,380000
479,79,10637,Reg,5,336,1705,1718,0,1718,7,826,208,44,297000
480,50,5925,Reg,7,435,907,1131,0,1131,7,672,0,72,89471
481,98,16033,IR1,5,378,1833,1850,0,1850,8,772,519,112,326000
482,72,11846,IR1,5,562,1792,1792,0,1792,6,874,206,49,374000
483,50,2500,Reg,8,0,910,916,910,1826,7,164,0,0,155000
484,32,4500,Reg,5,116,1216,1216,0,1216,5,402,0,125,164000
485,NA,7758,IR1,7,0,999,999,0,999,6,264,0,132,132500
486,80,9600,Reg,7,0,1113,1113,0,1113,5,264,0,80,147000
487,79,10289,Reg,7,168,1073,1073,0,1073,6,515,0,0,156000
488,70,12243,IR1,6,0,1484,1484,0,1484,7,487,224,0,175000
489,60,10800,Reg,4,0,954,1766,648,2414,10,520,142,0,160000
490,21,1526,Reg,8,0,630,630,0,630,3,286,0,0,86000
491,NA,2665,Reg,6,0,264,616,688,1304,4,336,141,24,115000
492,79,9490,Reg,7,0,806,958,620,1578,5,240,0,0,133000
493,105,15578,IR1,5,0,728,728,728,1456,8,429,0,0,172785
494,70,7931,Reg,6,0,1269,1269,0,1269,6,308,0,0,155000
495,50,5784,Reg,8,0,190,886,0,886,4,273,144,20,91300
496,60,7879,Reg,5,0,720,720,0,720,4,0,0,523,34900
497,NA,12692,IR1,5,0,3200,3228,0,3228,10,546,264,75,430000
498,60,9120,Reg,6,0,1026,1133,687,1820,8,240,0,100,184000
499,65,7800,Reg,7,89,864,899,0,899,5,288,64,0,130000
500,70,7535,IR1,7,0,912,912,0,912,5,297,12,285,120000
